worker_id,monthly_income,monthly_income_2,income_volatility,platform_count,days_to_recover,surplus_ratio,stability_score,working_days,jobs_completed,avg_daily_income,income_growth_rate,expense_ratio,savings_amount,late_payment_count,work_consistency_score
1,34772,77438,0.78,1,15,0.55,77.51,28,126,948,0.06,0.76,2633,5,66.54
2,30904,71663,0.46,3,21,0.53,69.11,27,59,2235,0.18,0.72,11908,8,98.1
3,73543,38231,0.2,4,16,0.25,25.5,27,177,2880,-0.07,0.65,11191,6,28.96
4,17523,19938,0.66,4,24,0.34,3.1,26,73,2431,0.07,0.6,15147,0,60.85
5,18705,33354,0.18,2,29,0.78,72.63,26,50,1119,0.25,0.59,4765,3,52.76
6,47360,26126,0.12,3,9,0.19,65.62,22,172,1295,0.08,0.32,11858,3,65.19
7,46434,77056,0.37,3,8,0.36,93.81,29,76,1717,0.06,0.75,2780,4,78.65
8,61483,42203,0.74,3,17,0.25,32.62,13,46,314,0.24,0.47,5138,2,22.75
9,10616,42134,0.35,1,16,0.33,75.75,20,85,804,0.17,0.63,3839,1,66.45
10,73728,55813,0.65,2,19,0.16,93.85,10,45,1072,0.01,0.59,10643,5,71.32
11,77111,39564,0.74,3,19,0.63,33.73,21,104,2972,0.2,0.84,16892,9,34.18
12,66955,14883,0.29,2,17,0.29,42.88,25,190,479,-0.01,0.44,18090,4,39.88
13,16889,74757,0.58,3,1,0.11,28.7,19,65,2903,0.12,0.35,6244,0,51.95
14,39760,35127,0.89,1,19,0.12,23.82,28,83,1796,0.17,0.57,14916,0,73.24
15,30740,53456,0.25,1,18,0.16,68.08,25,112,986,0.3,0.54,9354,4,42.57
16,66207,64361,0.72,4,8,0.39,23.09,13,127,2429,0,0.61,8625,0,94.89
17,46806,54371,0.37,3,22,0.44,10.24,21,93,685,0.26,0.35,3707,1,1.89
18,74866,46281,0.67,3,16,0.24,39.34,17,60,457,-0.02,0.68,8036,9,81.99
19,67224,75208,0.55,1,13,0.63,93.09,11,198,318,-0.04,0.89,1145,8,45.55
20,19152,29149,0.59,1,1,0.43,1.15,12,162,1632,0.17,0.36,9968,9,82.49
21,47185,41460,0.67,4,19,0.58,65.34,21,77,2108,0.27,0.6,13640,9,81.85
22,24658,50974,0.22,1,14,0.12,6.16,23,198,2608,-0.08,0.32,18317,9,2.52
23,79168,40210,0.23,1,6,0.79,4.98,20,177,994,0.26,0.54,11804,2,46.01
24,32357,68555,0.2,2,3,0.27,75.86,26,122,862,-0.1,0.38,16099,4,38.75
25,48431,49379,0.42,2,1,0.57,58.43,17,103,567,0.1,0.75,14205,7,77.18
26,12271,77621,0.55,4,28,0.21,38.79,26,99,1483,0.07,0.66,16395,1,17.38
27,58929,21764,0.29,4,1,0.53,43.87,14,24,2078,0.26,0.84,3126,9,77.32
28,72669,39812,0.77,2,2,0.12,47.74,28,114,2234,-0.04,0.38,12013,7,0.06
29,37667,41870,0.39,1,20,0.61,64.04,28,103,2910,0.27,0.73,18033,2,51.17
30,44667,73027,0.8,1,16,0.66,26.3,25,74,1982,0.06,0.5,1724,9,56.69
31,61820,79789,0.48,1,19,0.29,81.22,20,150,2586,0.19,0.38,4412,9,81.96
32,64879,37531,0.12,3,6,0.36,41.92,19,69,835,-0.1,0.51,17248,7,22.02
33,53325,63303,0.11,4,22,0.62,9.53,16,162,1924,0.1,0.55,6243,0,44.52
34,58854,67100,0.69,1,27,0.25,3.4,25,172,2444,0.01,0.52,15214,8,0.4
35,33376,52931,0.55,3,26,0.26,89.43,22,127,2123,0.02,0.87,14727,5,23.77
36,15666,45397,0.23,3,11,0.7,8.48,17,68,2542,0.05,0.64,9608,8,1.66
37,44786,28560,0.68,3,8,0.62,6.41,26,31,1576,0.21,0.8,15995,3,21.24
38,27784,10349,0.38,2,15,0.43,97.04,14,173,1662,0,0.31,10065,7,59.36
39,26415,41539,0.49,1,15,0.53,1.65,29,79,701,-0.04,0.34,18650,8,65.98
40,19693,68907,0.89,2,23,0.17,89.96,26,37,2108,0.02,0.59,12923,7,3.98
41,37727,41569,0.2,2,15,0.21,93,14,112,770,0.03,0.77,7381,9,3.58
42,42049,37259,0.18,1,20,0.66,40.25,17,102,2320,-0.04,0.34,12037,7,50.84
43,26504,71007,0.67,4,10,0.16,49.8,28,164,1331,-0.01,0.71,15922,1,65.69
44,28399,24816,0.6,1,26,0.26,48.88,29,124,486,0.2,0.53,13884,7,11.17
45,70963,14905,0.25,4,13,0.2,65.27,12,65,1321,0.01,0.84,2540,1,57.17
46,60972,45213,0.57,2,12,0.68,77.71,13,128,725,-0.02,0.75,7060,0,48.36
47,72986,27005,0.29,3,14,0.79,79.42,12,144,2171,0.06,0.89,9233,9,32.44
48,14959,34074,0.48,4,17,0.8,74.05,25,124,884,0.19,0.55,7296,6,79.06
49,47589,58236,0.89,2,9,0.2,89.88,13,68,482,0.01,0.8,11988,2,29.95
50,39195,57430,0.74,1,19,0.64,89.57,29,174,1553,-0.09,0.65,10799,4,51.9
51,71147,10722,0.17,1,22,0.38,2.49,14,54,2648,0.14,0.33,8353,6,94.55
52,71329,79475,0.84,4,14,0.38,40.71,17,152,1004,0.09,0.52,5373,5,13.15
